Stufe;Pos.;PTp;Komponentennummer;Objektkurztext;Menge;ME;AltPos.;Grp;BGr;gültig von;BisDatum;Gleitender Preis;pro;Standardpreis
3;1;T;TI=03;;1;ST;;;0;02.11.1998;31.12.9999;;1;
2;;;3.09105.00.0;ROHRNIET;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;16.03.2000;31.12.9999;;1;
2;;;3.09105.00.0;ROHRNIET;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;16.03.2000;31.12.9999;;1;
2;;;3.09105.00.0;ROHRNIET;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;16.03.2000;31.12.9999;;1;
2;;;5.02713.02.0;LEITERPLATTE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-800720000 PZD 000 00;SCHALTPLAN;1;ST;;;0;27.07.2009;31.12.9999;;0;
3;205;D;D-818106000 PZD 000 09;PRUEFVORSCHRIFT;1;ST;;;0;19.12.2007;31.12.9999;;0;
3;300;L;3.09090.02.0;LEITERPLATTE;1;ST;;;0;16.11.2006;31.12.9999;;0;
3;305;L;3.09817.00.0;HALTER;1;ST;;;1;16.11.2006;31.12.9999;;0;
3;310;L;3.09627.01.0;BUCHSE;2;ST;;;1;16.11.2006;31.12.9999;;0;
2;;;5.35005.03.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;310;L;3.13439.01.0;WICKELDRAHT;25,7;G;;;0;17.06.2009;31.12.9999;;0;
3;320;L;5.35033.01.0;STAENDERPAKET,BESCHICHTET;1;ST;;;1;15.10.2018;31.12.9999;;0;
3;325;L;5.35704.00.0;AUFNAHME,KOMPLETT;1;ST;;;1;16.05.2011;31.12.9999;;0;
2;;;5.02713.03.0;LEITERPLATTE,KOMPLETT;0;;;;0;;;;0;
3;200;D;D-800720000 PZD 000 01;SCHALTPLAN;1;ST;;;0;14.05.2014;31.12.9999;;0;
3;205;D;D-818106000 PZD 000 10;PRUEFVORSCHRIFT;1;ST;;;0;17.06.2014;31.12.9999;;0;
3;210;D;D-800096040 KZD 000 00;LAYOUT;1;ST;;;0;29.01.2007;31.12.9999;;0;
3;300;L;3.09090.04.0;LEITERPLATTE;1;ST;;;0;08.01.2007;31.12.9999;;0;
3;305;L;3.09817.00.0;HALTER;1;ST;;;1;08.01.2007;31.12.9999;;0;
3;310;L;3.09627.01.0;BUCHSE;2;ST;;;1;08.01.2007;31.12.9999;;0;
2;;;5.35005.03.0;STATOR,GEWICKELT;0;;;;0;;;;0;
3;310;L;3.13439.01.0;WICKELDRAHT;25,7;G;;;0;17.06.2009;31.12.9999;;0;
3;320;L;5.35033.01.0;STAENDERPAKET,BESCHICHTET;1;ST;;;1;15.10.2018;31.12.9999;;0;
3;325;L;5.35704.00.0;AUFNAHME,KOMPLETT;1;ST;;;1;16.05.2011;31.12.9999;;0;
2;;;3.09918.01.0;GLEITLAGER;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;18.10.2000;31.12.9999;;1;
3;200;D;D-818108000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;;;3.09918.01.0;GLEITLAGER;0;;;;0;;;;0;
3;1;T;TI=00;;1;ST;;;0;18.10.2000;31.12.9999;;1;
3;200;D;D-818108000 PZD 000 02;TECHN.LIEFERBEDINGUNG;1;ST;;;0;25.11.2009;31.12.9999;;0;
2;;;3.11044.00.0;ACHSE;0;;;;0;;;;0;
3;300;L;3.09219.00.0;ACHSE;1;ST;;;1;08.05.2007;31.12.9999;;0;
2;;;3.09095.00.0;STECKER;0;;;;0;;;;0;
3;1;T;TI=02;;1;ST;;;0;23.03.2000;31.12.9999;;1;
2;;;3.09095.01.0;STECKER;0;;;;0;;;;0;
3;1;T;TI=02;;1;ST;;;0;23.03.2000;31.12.9999;;1;
2;;;3.09944.00.0;FARBBAND;0;;;;0;;;;0;
3;1;T;TI=01;;1;ST;;;0;13.07.1995;31.12.9999;;0;
3;200;Z;8.12000.00.0;UMWELTSCHUTZ;1;ST;;;0;11.05.1995;31.12.9999;;1;
